Date	Price	Year	Week	Digital Year	Selected Years
01/06/92	1.042	1992	1	1992	0
01/13/92	1.026	1992	2	1992.0192	0
01/20/92	1.014	1992	3	1992.0385	0
01/27/92	1.006	1992	4	1992.0577	0
02/03/92	0.995	1992	5	1992.0769	0
02/10/92	1.004	1992	6	1992.0962	0
02/17/92	1.011	1992	7	1992.1154	0
02/24/92	1.014	1992	8	1992.1346	0
03/02/92	1.012	1992	9	1992.1538	0
03/09/92	1.013	1992	10	1992.1731	0
03/16/92	1.01	1992	11	1992.1923	0
03/23/92	1.015	1992	12	1992.2115	0
03/30/92	1.013	1992	13	1992.2308	0
04/06/92	1.026	1992	14	1992.2500	0
04/13/92	1.051	1992	15	1992.2692	0
04/20/92	1.058	1992	16	1992.2885	0
04/27/92	1.072	1992	17	1992.3077	0
05/04/92	1.089	1992	18	1992.3269	0
05/11/92	1.102	1992	19	1992.3462	0
05/18/92	1.118	1992	20	1992.3654	0
05/25/92	1.12	1992	21	1992.3846	0
06/01/92	1.128	1992	22	1992.4038	0
06/08/92	1.143	1992	23	1992.4231	0
06/15/92	1.151	1992	24	1992.4423	0
06/22/92	1.153	1992	25	1992.4615	0
06/29/92	1.149	1992	26	1992.4808	0
07/06/92	1.147	1992	27	1992.5000	0
07/13/92	1.139	1992	28	1992.5192	0
07/20/92	1.132	1992	29	1992.5385	0
07/27/92	1.128	1992	30	1992.5577	0
08/03/92	1.126	1992	31	1992.5769	0
08/10/92	1.123	1992	32	1992.5962	0
08/17/92	1.116	1992	33	1992.6154	0
08/24/92	1.123	1992	34	1992.6346	0
08/31/92	1.121	1992	35	1992.6538	0
09/07/92	1.121	1992	36	1992.6731	0
09/14/92	1.124	1992	37	1992.6923	0
09/21/92	1.123	1992	38	1992.7115	0
09/28/92	1.118	1992	39	1992.7308	0
10/05/92	1.115	1992	40	1992.7500	0
10/12/92	1.115	1992	41	1992.7692	0
10/19/92	1.113	1992	42	1992.7885	0
10/26/92	1.113	1992	43	1992.8077	0
11/02/92	1.12	1992	44	1992.8269	0
11/09/92	1.12	1992	45	1992.8462	0
11/16/92	1.112	1992	46	1992.8654	0
11/23/92	1.106	1992	47	1992.8846	0
11/30/92	1.098	1992	48	1992.9038	0
12/07/92	1.089	1992	49	1992.9231	0
12/14/92	1.078	1992	50	1992.9423	0
12/21/92	1.074	1992	51	1992.9615	0
12/28/92	1.069	1992	52	1992.9808	0
01/04/93	1.065	1993	1	1993	0
01/11/93	1.066	1993	2	1993.0192	0
01/18/93	1.061	1993	3	1993.0385	0
01/25/93	1.055	1993	4	1993.0577	0
02/01/93	1.055	1993	5	1993.0769	0
02/08/93	1.062	1993	6	1993.0962	0
02/15/93	1.053	1993	7	1993.1154	0
02/22/93	1.047	1993	8	1993.1346	0
03/01/93	1.042	1993	9	1993.1538	0
03/08/93	1.048	1993	10	1993.1731	0
03/15/93	1.058	1993	11	1993.1923	0
03/22/93	1.056	1993	12	1993.2115	0
03/29/93	1.057	1993	13	1993.2308	0
04/05/93	1.068	1993	14	1993.2500	0
04/12/93	1.079	1993	15	1993.2692	0
04/19/93	1.079	1993	16	1993.2885	0
04/26/93	1.086	1993	17	1993.3077	0
05/03/93	1.086	1993	18	1993.3269	0
05/10/93	1.097	1993	19	1993.3462	0
05/17/93	1.106	1993	20	1993.3654	0
05/24/93	1.106	1993	21	1993.3846	0
05/31/93	1.107	1993	22	1993.4038	0
06/07/93	1.104	1993	23	1993.4231	0
06/14/93	1.101	1993	24	1993.4423	0
06/21/93	1.095	1993	25	1993.4615	0
06/28/93	1.089	1993	26	1993.4808	0
07/05/93	1.086	1993	27	1993.5000	0
07/12/93	1.081	1993	28	1993.5192	0
07/19/93	1.075	1993	29	1993.5385	0
07/26/93	1.069	1993	30	1993.5577	0
08/02/93	1.062	1993	31	1993.5769	0
08/09/93	1.06	1993	32	1993.5962	0
08/16/93	1.059	1993	33	1993.6154	0
08/23/93	1.065	1993	34	1993.6346	0
08/30/93	1.062	1993	35	1993.6538	0
09/06/93	1.055	1993	36	1993.6731	0
09/13/93	1.051	1993	37	1993.6923	0
