Mortality	Education
921.87	11.4
997.87	11.0
962.35	9.8
982.29	11.1
1071.29	9.6
1030.38	10.2
934.70	12.1
899.53	10.6
1001.90	10.5
912.35	10.7
1017.61	9.6
1024.89	10.9
970.47	10.2
985.95	11.1
958.84	11.9
860.10	11.8
936.23	11.4
871.77	12.2
959.22	10.8
941.18	10.8
891.71	11.4
871.34	10.9
971.12	10.4
887.47	11.5
952.53	11.4
968.67	11.4
919.73	12.0
861.26	12.1
989.26	9.9
1006.49	10.4
861.44	11.5
929.15	11.1
857.62	12.1
961.01	10.1
923.23	11.3
1113.16	9.7
994.65	10.7
1015.02	10.5
991.29	10.6
893.99	12.0
938.50	10.1
946.19	9.6
1025.50	11.0
874.28	11.1
953.56	9.7
839.71	12.1
911.70	12.2
790.73	12.2
899.26	12.2
904.16	11.1
950.67	11.4
972.46	10.7
912.20	10.3
967.80	12.3
823.76	12.1
1003.50	11.3
895.70	11.1
954.44	10.7
