Price	Time	kind
144.0	47.65	casserole
215.0	63.13	casserole
105.0	58.76	casserole
69.0	34.88	plate
134.0	55.53	dish
129.0	43.14	casserole
155.0	54.86	tray
99.0	44.14	tray
38.5	17.46	dish
36.5	21.04	dish
260.0	109.38	tray
54.0	17.67	plate
39.0	16.41	plate
29.5	12.02	plate
109.0	49.48	casserole
89.5	48.74	casserole
42.0	23.21	plate
65.0	28.64	plate
115.0	44.95	plate
49.5	23.77	plate
36.5	20.21	plate
109.0	32.62	plate
45.0	17.84	plate
58.0	22.82	plate
89.0	29.48	plate
30.0	15.61	plate
31.0	13.25	plate
119.0	45.78	plate
22.0	26.53	tray
109.0	37.11	plate
99.0	45.12	dish
99.0	26.09	plate
179.0	68.63	casserole
99.0	33.71	dish
89.0	44.45	dish
75.0	23.74	plate
199.0	86.42	casserole
93.0	39.71	plate
65.0	26.52	plate
74.0	33.89	tray
165.0	64.30	tray
99.0	22.55	plate
43.5	31.86	plate
94.0	53.18	plate
189.0	74.48	tray
75.0	34.16	tray
59.5	31.46	tray
42.0	21.34	plate
23.0	20.83	tray
52.5	20.59	plate
99.0	33.70	casserole
89.0	32.90	casserole
65.0	27.76	dish
54.5	30.20	plate
24.5	20.85	plate
52.0	26.25	plate
62.5	21.87	plate
89.0	23.88	plate
21.5	16.66	plate
